timestamp;energy_used;solar_produced
1581296400;3.276;0
1581300000;2.747;0
1581303600;1.461;0
1581307200;1.585;0
1581310800;3.438;0
1581314400;4.636;0
1581318000;1.76;0.15
1581321600;1.644;0.54
1581325200;2.686;1.41
1581328800;4.346;1.84
1581332400;1.418;1.97
1581336000;1.228;2.13
1581339600;1.877;2.02
1581343200;3.051;0.88
1581346800;2.22;0.16
1581350400;3.31;0.01
1581354000;2.772;0
1581357600;4.502;0
1581361200;2.773;0
1581364800;1.343;0
1581368400;1.598;0
1581372000;3.182;0
1581375600;3.183;0
1581379200;1.598;0
1581382800;2.83;0
1581386400;3.536;0
1581390000;3.328;0
1581393600;1.585;0
1581397200;1.686;0
1581400800;4.162;0
1581404400;4.409;0.12
1581408000;2.269;0.71
1581411600;1.322;1.21
1581415200;2.64;2.14
1581418800;3.344;2.04
1581422400;1.331;1.91
1581426000;1.228;1.26
1581429600;2.158;0.76
1581433200;3.666;0.57
1581436800;3.002;0.12
1581440400;2.735;0
1581444000;2.655;0
1581447600;4.013;0
1581451200;3.484;0
1581454800;1.58;0
1581458400;1.784;0
1581462000;3.551;0
1581465600;2.986;0
1581469200;1.682;0
1581472800;1.917;0
1581476400;3.52;0
1581480000;3.158;0
1581483600;1.678;0
1581487200;2.715;0
1581490800;4.204;0.17
1581494400;3.306;0.56
1581498000;1.641;1.07
1581501600;1.501;1.37
1581505200;3.674;1.69
1581508800;3.696;2.39
1581512400;1.306;1.67
1581516000;1.281;1.04
1581519600;2.716;0.46
1581523200;4.083;0.04
1581526800;1.884;0
1581530400;1.388;0
1581534000;2.356;0
1581537600;3.748;0
1581541200;2.891;0
1581544800;2.332;0
1581548400;2.353;0
1581552000;3.437;0
1581555600;2.681;0
1581559200;1.654;0
1581562800;2.117;0
1581566400;3.473;0
1581570000;4.084;0
1581573600;1.953;0
1581577200;3.097;0
1581580800;4.558;0.04
1581584400;2.915;0.09
1581588000;1.327;0.12
1581591600;1.914;1.27
1581595200;3.367;1.26
1581598800;3.117;0.92
1581602400;1.68;0.32
1581606000;1.776;0.19
1581609600;3.124;0.01
1581613200;3.382;0
1581616800;2.021;0
1581620400;1.591;0
1581624000;2.513;0
1581627600;4.004;0
1581631200;3.886;0
1581634800;1.567;0
1581638400;2.085;0
1581642000;3.22;0
1581645600;2.461;0
1581649200;1.636;0
1581652800;1.942;0
1581656400;3.517;0
1581660000;3.982;0
1581663600;2.753;0.03
1581667200;2.526;0.29
1581670800;4.958;1.14
1581674400;2.832;1.33
1581678000;1.201;1.29
1581681600;1.268;1.25
1581685200;2.38;1.92
1581688800;2.98;1.44
1581692400;1.957;0.34
1581696000;1.957;0.05
1581699600;2.386;0
1581703200;3.32;0
1581706800;3.53;0
1581710400;3.374;0
1581714000;3.268;0
1581717600;3.105;0
1581721200;1.385;0
1581724800;1.441;0
1581728400;2.755;0
1581732000;3.364;0
1581735600;1.538;0
1581739200;1.484;0
1581742800;2.57;0
1581746400;3.391;0
1581750000;3.519;0.07
1581753600;2.391;0.33
1581757200;3.857;0.56
1581760800;3.337;1.06
1581764400;2.039;1.31
1581768000;1.507;1.54
1581771600;2.009;1.28
1581775200;3.288;0.63
1581778800;3.336;0.43
1581782400;2.402;0.03
1581786000;1.658;0
1581789600;3.431;0
1581793200;2.92;0
1581796800;1.559;0
1581800400;1.575;0
1581804000;2.707;0
1581807600;3.263;0
1581811200;1.482;0
1581814800;1.354;0
1581818400;2.141;0
1581822000;3.194;0
1581825600;2.006;0
1581829200;1.387;0
1581832800;1.772;0
1581836400;3.306;0
1581840000;3.194;0.07
1581843600;2.587;0.42
1581847200;2.572;0.62
1581850800;3.641;0.57
1581854400;2.734;0.61
1581858000;1.215;0.54
1581861600;1.165;0.34
1581865200;2.279;0.1
1581868800;4.161;0.01
1581872400;1.646;0
1581876000;1.334;0
1581879600;2.389;0
1581883200;3.264;0
1581886800;1.9;0
1581890400;1.558;0
1581894000;1.831;0
1581897600;3.182;0
1581901200;2.623;0
1581904800;1.548;0
1581908400;1.648;0
1581912000;3.187;0
1581915600;2.886;0
1581919200;3.964;0
1581922800;3.429;0.52
1581926400;3.532;1.78
1581930000;2.403;1.63
1581933600;1.263;2.35
1581937200;1.691;1
1581940800;3.472;2.02
1581944400;2.474;2.26
1581948000;1.243;0.98
1581951600;1.63;1
1581955200;3.76;0.12
1581958800;3.299;0
1581962400;1.38;0
1581966000;2.753;0
1581969600;3.626;0
1581973200;3.219;0
1581976800;1.596;0
1581980400;1.447;0
1581984000;2.57;0
1581987600;3.162;0
1581991200;1.918;0
1581994800;1.59;0
1581998400;2.489;0
1582002000;3.513;0
1582005600;3.575;0
1582009200;2.995;0.33
1582012800;2.191;0.57
1582016400;3.684;1.05
1582020000;1.987;1.3
1582023600;1.506;1.67
1582027200;1.546;1.9
1582030800;3.258;2.12
1582034400;2.565;1.71
1582038000;1.175;0.84
1582041600;2.214;0.17
1582045200;3.405;0
1582048800;3.051;0
1582052400;1.611;0
1582056000;1.676;0
1582059600;3.579;0
1582063200;3.238;0
1582066800;1.993;0
1582070400;1.555;0
1582074000;2.791;0
1582077600;3.204;0
1582081200;1.706;0
1582084800;1.61;0
1582088400;2.973;0
1582092000;4.653;0
1582095600;2.99;0.49
